Designator,Footprint,Quantity,Value,LCSC Part #
BT1,cr1220,1,Battery_Cell,
"C1, C2, C25, C3",0603,4,5pf,
"C10, C32, C34, C35",0603,4,1uf,
"C11, C38, C5, C6",CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,4,22uf,
C12,1206,1,22uf,
"C14, C24",CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,2,47uf,
"C17, C18, C19, C20",0603,4,22uf,
"C21, C23, C26, C28, C29, C30, C31, C33, C36, C37, C4, C7",0603,12,100nf,
"C22, C27, C8",0603,3,10uf,
C39,CP_EIA-3528-21_Kemet-B_HandSolder,1,22uf,
C40,1206,1,1uf,
C41,1206,1,10uf,
"CHG1, PW_LED1",0805,2,LED,
D1,D_SMA,1,SS34,
D3,D_SMA_Handsoldering,1,SS32,
D4,D_SOD-323_HandSoldering,1,1N5819WS,
FB1,0805,1,FerriteBead,
FLASH1,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm_Relief,1,Conn_01x02_Pin,
"J1, J4",JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,2,Conn_01x04_Socket,
"J10, J7",PinHeader_2x04_P1.27mm_Vertical,2,Conn_02x04_Odd_Even,
J11,PinHeader_2x06_P1.27mm_Vertical,1,Conn_02x06_Odd_Even,
"J2, J3, J9",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Socket,
J5,SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm,1,Conn_01x02_Pin,
J6,PinSocket_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J8,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
"L1, L2, L3",L_APV_APH0650,3,4.7uH,
"Q2, Q3, Q5, Q6",SOT-23,4,AO3400A,
"R1, R12, R14, R15, R2, R23, R24, R27, R28, R31, R39, R41, R42, R8",0603,14,100k,
"R13, R4",0603,2,1.5k,
"R16, R17, R18, R20, R21, R22",0603,6,100k(NC),
"R25, R26, R32, R40, R6",0603,5,1k,
"R29, R33, R34, R35, R36, R45, R7",0603,7,10k,
R3,0603,1,RPORG(1k),
"R30, R38, R43",0603,3,150k,
"R37, R5",0603,2,22k,
R44,0603,1,33k,
"U1, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,AT24CS08-SSHM,
U10,SOT-563,1,TMP102xxDRL,
"U11, U6",DBV0006A_TEX,2,TPS2552DDBVR,
U12,MFSOP6-4_4.4x3.6mm_P1.27mm,1,TLP127,
U13,SOT-23-6_DBV_TEX,1,TLV61048DBVR,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32G431RBTx,
U5,SOT-23-6_Handsoldering,1,BQ21040DBV,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,STM32L011D4Px,
U8,SOT-23-5_HandSoldering,1,ME6211C25M5,
Y1,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,1,32.768kHz,
Y2,Crystal_DS26_D2.0mm_L6.0mm_Horizontal,1,24Mhz,
