Designator,Mid X,Mid Y,Rotation,Layer
BT1,34.913908,41.0,90.0,top
C1,62.0,52.49375,90.0,bottom
C10,23.4,5.6625,180.0,top
C11,12.8,20.0,90.0,bottom
C12,34.6,14.2,180.0,top
C13,8.0375,26.0,180.0,top
C14,33.5,20.275,270.0,top
C15,8.0,22.6,0.0,top
C16,8.0,16.5,0.0,top
C17,45.3,21.5,180.0,top
C18,46.05,24.75,90.0,top
C19,27.75,10.7,90.0,bottom
C2,60.0,52.49375,90.0,bottom
C20,34.9,10.8,90.0,bottom
C21,34.7,20.6,90.0,bottom
C22,36.2,20.6,90.0,bottom
C23,25.2,25.45,270.0,bottom
C24,43.3,25.0,270.0,top
C25,56.0,52.49375,90.0,bottom
C26,51.4,51.25,270.0,top
C27,51.25,34.49375,0.0,bottom
C28,51.25,35.99375,0.0,bottom
C29,60.2,33.8,0.0,bottom
C3,58.0,52.49375,90.0,bottom
C30,62.75,42.99375,180.0,bottom
C31,53.0,45.0,0.0,bottom
C32,51.25,37.5,180.0,bottom
C33,51.25,39.0,180.0,bottom
C34,69.0,17.5,270.0,top
C35,76.15,23.0,0.0,top
C36,68.3125,27.0,180.0,top
C37,23.1,33.1,0.0,top
C38,22.6,40.6,0.0,top
C4,16.5,20.5,90.0,top
C5,23.475,2.85,0.0,top
C6,21.475,15.1,0.0,top
C7,20.8,20.250001,270.0,bottom
C8,21.975,12.5,180.0,top
C9,8.0375,24.5,180.0,top
CHG1,16.1,3.2,90.0,top
D1,16.5,25.5,180.0,top
D2,29.5,17.5,270.0,top
D3,41.0,51.5,0.0,bottom
FB1,54.5,37.6,90.0,bottom
J1,58.55,8.0,270.0,top
J10,81.978908,35.905,180.0,top
J11,39.288908,55.635,90.0,top
J2,87.5,24.27,180.0,top
J3,44.51,16.5,90.0,top
J4,32.0,6.95,180.0,top
J6,11.1,56.9,180.0,top
J7,72.248908,33.095,0.0,top
J8,19.613908,57.0,270.0,top
J9,26.423908,51.0,90.0,top
L1,11.0,30.0,0.0,top
PW_LED1,18.2,3.2,90.0,top
Q1,25.7,19.5,0.0,top
Q2,33.35,28.55,270.0,top
Q3,29.3125,28.55,270.0,top
Q4,17.5,37.8,180.0,bottom
Q5,29.3,27.7,90.0,bottom
Q6,33.4375,27.7,90.0,bottom
R1,29.25,30.45,180.0,bottom
R10,10.4,18.2,90.0,bottom
R11,8.9,18.2,270.0,bottom
R12,27.7,15.5,180.0,bottom
R13,36.8,9.0,90.0,bottom
R14,29.3125,25.75,0.0,top
R15,33.35,25.75,0.0,top
R16,35.8,18.1,180.0,bottom
R17,30.2,22.8,180.0,bottom
R18,27.7,14.0,180.0,bottom
R19,20.2,37.8,270.0,bottom
R2,33.4375,30.45,180.0,bottom
R20,52.75,31.75,90.0,bottom
R21,55.0,31.75,90.0,bottom
R22,74.8,32.0,270.0,bottom
R23,16.65,32.5,90.0,top
R24,18.15,32.5,270.0,top
R25,21.1,28.85,180.0,top
R26,68.2,45.4,270.0,top
R27,78.55,20.0,90.0,top
R28,70.5,18.0,270.0,bottom
R29,62.7,41.4,180.0,bottom
R3,19.1,7.8,180.0,top
R30,38.2,25.2,270.0,bottom
R31,39.7,25.2,90.0,bottom
R32,36.7,25.2,90.0,bottom
R33,62.95,28.5,270.0,bottom
R34,62.95,24.75,90.0,bottom
R35,44.0,35.4,270.0,bottom
R36,45.6,35.4,270.0,bottom
R37,26.5,36.5,270.0,top
R38,40.25,27.75,180.0,bottom
R39,40.25,29.27,0.0,bottom
R4,19.1,9.3,0.0,top
R40,40.25,30.77,0.0,bottom
R41,23.1,31.5,0.0,top
R42,21.75,59.5,0.0,bottom
R5,16.6,16.2,0.0,bottom
R6,28.7,11.7,0.0,top
R7,18.9,7.8,0.0,bottom
R8,23.7,18.3,180.0,bottom
R9,8.0,18.0,180.0,top
U1,73.8,18.75,90.0,top
U10,68.05,24.6,90.0,top
U11,23.649999,36.3062,90.0,top
U12,67.4,47.2,90.0,bottom
U2,51.8,23.5,180.0,top
U3,57.0,39.49375,180.0,top
U4,11.5,20.5,270.0,top
U5,22.9,9.0,90.0,top
U6,17.5,19.5,0.0,bottom
U7,29.5,19.1,90.0,bottom
U8,31.4,11.2,0.0,bottom
U9,74.815,20.175,0.0,bottom
Y1,61.0,49.74375,180.0,top
Y2,57.0,49.99375,180.0,top
