Designator,Footprint,Quantity,Value,LCSC Part #
BT1,cr1220,1,Battery_Cell,
"C1, C2, C25, C3",603,4,5pf,
"C10, C32, C34, C35, C9",603,5,1uf,
"C11, C38, C4, C5, C6",CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,5,22uf,
"C12, C14, C24",CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,3,47uf,
"C13, C17, C18, C19, C20",603,5,22uf,
"C15, C21, C23, C26, C28, C29, C30, C31, C33, C36, C37, C7",603,12,100nf,
C16,603,1,820pf,
"C22, C27, C8",603,3,10uf,
"CHG1, PW_LED1",805,2,LED,
"D1, D2, D3",D_SMA_Handsoldering,3,SS32,
FB1,805,1,FerriteBead,
"FLASH1, J5",SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm_Relief,2,Conn_01x02_Pin,
"J1, J4",JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,2,Conn_01x04_Socket,
"J10, J7",PinHeader_2x04_P1.27mm_Vertical,2,Conn_02x04_Odd_Even,
J11,PinHeader_2x06_P1.27mm_Vertical,1,Conn_02x06_Odd_Even,
"J2, J3, J9",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Socket,
J6,PinSocket_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J8,PinHeader_1x04_P2.00mm_Vertical,1,Conn_01x04_Pin,
L1,L_APV_ANR5040,1,4.7uH,
Q1,SOT-23,1,AO3401A,
"Q2, Q3, Q4, Q5, Q6",SOT-23,5,AO3400A,
"R1, R12, R14, R15, R19, R2, R23, R24, R25, R26, R27, R28, R31, R32, R39, R40, R41, R42, R6, R8",603,20,100k,
R10,603,1,82k,
R11,603,1,27k,
"R13, R4",603,2,1.5k,
"R16, R17, R18, R20, R21, R22",603,6,100k(NC),
"R29, R33, R34, R35, R36, R7",603,6,10k,
R3,603,1,RPORG(1k),
"R30, R38",603,2,150k,
"R37, R5",603,2,22k,
R9,603,1,56.2k,
"U1, U9",SOIC-8_3.9x4.9mm_P1.27mm,2,AT24CS08-SSHM,
U10,SOT-563,1,TMP102xxDRL,
"U11, U6",DBV0006A_TEX,2,TPS2552DDBVR,
U12,MFSOP6-4_4.4x3.6mm_P1.27mm,1,TLP127,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32G431RBTx,
U4,VSSOP-8_3x3mm_P0.65mm,1,TPS61085DGK,
U5,SOT-23-6_Handsoldering,1,BQ21040DBV,
U7,TSSOP-14_4.4x5mm_P0.65mm,1,STM32L011D4Px,
U8,SOT-23-5_HandSoldering,1,ME6211C25M5,
Y1,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal,1,32.768kHz,
Y2,Crystal_DS26_D2.0mm_L6.0mm_Horizontal,1,24Mhz,
